>>> spin_at_rate(dps = 9, Kp = 0, Ki = 0.0025, Kd = 0, interval = 50)
Starting spin in 5 seconds...
Yaw: 7.90°/s, Target: 9°/s, Error: 1.10, Steering: 0.24
Yaw: 7.16°/s, Target: 9°/s, Error: 1.84, Steering: 0.24
Yaw: 8.89°/s, Target: 9°/s, Error: 0.11, Steering: 0.24
Yaw: 12.90°/s, Target: 9°/s, Error: -3.90, Steering: 0.24
Yaw: 13.56°/s, Target: 9°/s, Error: -4.56, Steering: 0.22
Yaw: 9.37°/s, Target: 9°/s, Error: -0.37, Steering: 0.22
Yaw: 5.58°/s, Target: 9°/s, Error: 3.42, Steering: 0.23
Yaw: 5.76°/s, Target: 9°/s, Error: 3.24, Steering: 0.24
Yaw: 6.54°/s, Target: 9°/s, Error: 2.46, Steering: 0.25
Yaw: 8.76°/s, Target: 9°/s, Error: 0.24, Steering: 0.25
Yaw: 13.51°/s, Target: 9°/s, Error: -4.51, Steering: 0.23
Yaw: 13.09°/s, Target: 9°/s, Error: -4.09, Steering: 0.22
Yaw: 8.94°/s, Target: 9°/s, Error: 0.06, Steering: 0.22
Yaw: 6.13°/s, Target: 9°/s, Error: 2.87, Steering: 0.23
Yaw: 5.61°/s, Target: 9°/s, Error: 3.39, Steering: 0.24
Yaw: 2.42°/s, Target: 9°/s, Error: 6.58, Steering: 0.25
Yaw: 6.89°/s, Target: 9°/s, Error: 2.11, Steering: 0.25
Yaw: 13.07°/s, Target: 9°/s, Error: -4.07, Steering: 0.24
Yaw: 9.52°/s, Target: 9°/s, Error: -0.52, Steering: 0.24
Yaw: 7.61°/s, Target: 9°/s, Error: 1.39, Steering: 0.24
Yaw: 8.23°/s, Target: 9°/s, Error: 0.77, Steering: 0.24
Yaw: 7.91°/s, Target: 9°/s, Error: 1.09, Steering: 0.25
Yaw: 11.81°/s, Target: 9°/s, Error: -2.81, Steering: 0.24
Yaw: 16.31°/s, Target: 9°/s, Error: -7.31, Steering: 0.22
Yaw: 13.66°/s, Target: 9°/s, Error: -4.66, Steering: 0.21
Yaw: 8.67°/s, Target: 9°/s, Error: 0.33, Steering: 0.21
Yaw: 7.03°/s, Target: 9°/s, Error: 1.97, Steering: 0.22
Yaw: 7.07°/s, Target: 9°/s, Error: 1.93, Steering: 0.22
Yaw: 4.64°/s, Target: 9°/s, Error: 4.36, Steering: 0.23
Yaw: 6.71°/s, Target: 9°/s, Error: 2.29, Steering: 0.24
Yaw: 6.91°/s, Target: 9°/s, Error: 2.09, Steering: 0.24
Yaw: 9.49°/s, Target: 9°/s, Error: -0.49, Steering: 0.24
Yaw: 8.73°/s, Target: 9°/s, Error: 0.27, Steering: 0.24
Yaw: 9.91°/s, Target: 9��/s, Error: -0.91, Steering: 0.24
Yaw: 9.52°/s, Target: 9°/s, Error: -0.52, Steering: 0.24
Yaw: 8.56°/s, Target: 9��/s, Error: 0.44, Steering: 0.24
Yaw: 8.90°/s, Target: 9°/s, Error: 0.10, Steering: 0.24
Yaw: 12.02°/s, Target: 9°/s, Error: -3.02, Steering: 0.23
Yaw: 14.82°/s, Target: 9°/s, Error: -5.82, Steering: 0.22
Yaw: 11.02°/s, Target: 9��/s, Error: -2.02, Steering: 0.21
Yaw: 7.95°/s, Target: 9°/s, Error: 1.05, Steering: 0.21
Yaw: 8.28°/s, Target: 9��/s, Error: 0.72, Steering: 0.22
Yaw: 6.67°/s, Target: 9°/s, Error: 2.33, Steering: 0.22
Yaw: 5.39°/s, Target: 9°/s, Error: 3.61, Steering: 0.23
Yaw: 5.03°/s, Target: 9°/s, Error: 3.97, Steering: 0.24
Yaw: 5.54°/s, Target: 9°/s, Error: 3.46, Steering: 0.25
Yaw: 6.25°/s, Target: 9°/s, Error: 2.75, Steering: 0.25
Yaw: 11.27°/s, Target: 9°/s, Error: -2.27, Steering: 0.24
Yaw: 13.62°/s, Target: 9°/s, Error: -4.62, Steering: 0.23
Yaw: 7.71°/s, Target: 9°/s, Error: 1.29, Steering: 0.24
Yaw: 6.85°/s, Target: 9°/s, Error: 2.15, Steering: 0.24
Yaw: 4.52°/s, Target: 9°/s, Error: 4.48, Steering: 0.25
Yaw: 11.86°/s, Target: 9°/s, Error: -2.86, Steering: 0.24
Yaw: 10.06°/s, Target: 9��/s, Error: -1.06, Steering: 0.24
Yaw: 9.13°/s, Target: 9°/s, Error: -0.13, Steering: 0.24
Yaw: 6.13°/s, Target: 9°/s, Error: 2.87, Steering: 0.25
Yaw: 7.52°/s, Target: 9°/s, Error: 1.48, Steering: 0.25
Yaw: 13.09°/s, Target: 9°/s, Error: -4.09, Steering: 0.24
Yaw: 8.43°/s, Target: 9°/s, Error: 0.57, Steering: 0.24
Yaw: 12.53��/s, Target: 9°/s, Error: -3.53, Steering: 0.23
Yaw: 7.70°/s, Target: 9°/s, Error: 1.30, Steering: 0.24
Yaw: 7.39°/s, Target: 9°/s, Error: 1.61, Steering: 0.24
Yaw: 2.92°/s, Target: 9°/s, Error: 6.08, Steering: 0.25
Yaw: 8.68°/s, Target: 9��/s, Error: 0.32, Steering: 0.25
Yaw: 9.10°/s, Target: 9°/s, Error: -0.10, Steering: 0.25
Yaw: 9.43°/s, Target: 9°/s, Error: -0.43, Steering: 0.25
Yaw: 10.63°/s, Target: 9��/s, Error: -1.63, Steering: 0.24
Yaw: 9.35°/s, Target: 9°/s, Error: -0.35, Steering: 0.24
Yaw: 5.32°/s, Target: 9°/s, Error: 3.68, Steering: 0.25
Yaw: 10.17°/s, Target: 9��/s, Error: -1.17, Steering: 0.25
Yaw: 10.68°/s, Target: 9°/s, Error: -1.68, Steering: 0.24
Yaw: 9.05��/s, Target: 9°/s, Error: -0.05, Steering: 0.24
Yaw: 9.91°/s, Target: 9°/s, Error: -0.91, Steering: 0.24
Yaw: 7.68°/s, Target: 9°/s, Error: 1.32, Steering: 0.24
Yaw: 10.49°/s, Target: 9°/s, Error: -1.49, Steering: 0.24
Yaw: 9.14°/s, Target: 9°/s, Error: -0.14, Steering: 0.24
Yaw: 8.88°/s, Target: 9°/s, Error: 0.12, Steering: 0.24
Yaw: 5.42°/s, Target: 9��/s, Error: 3.58, Steering: 0.25
Yaw: 6.21°/s, Target: 9°/s, Error: 2.79, Steering: 0.25
Yaw: 6.86°/s, Target: 9°/s, Error: 2.14, Steering: 0.25
Yaw: 10.96°/s, Target: 9°/s, Error: -1.96, Steering: 0.25
Yaw: 10.75°/s, Target: 9°/s, Error: -1.75, Steering: 0.24
Yaw: 5.50°/s, Target: 9°/s, Error: 3.50, Steering: 0.25
Yaw: 3.43°/s, Target: 9°/s, Error: 5.57, Steering: 0.25
Yaw: 6.44°/s, Target: 9°/s, Error: 2.56, Steering: 0.25
Yaw: 11.76°/s, Target: 9°/s, Error: -2.76, Steering: 0.24
Yaw: 10.89°/s, Target: 9°/s, Error: -1.89, Steering: 0.24
Yaw: 7.60°/s, Target: 9°/s, Error: 1.40, Steering: 0.24
Yaw: 7.05°/s, Target: 9°/s, Error: 1.95, Steering: 0.25
Yaw: 5.09°/s, Target: 9°/s, Error: 3.91, Steering: 0.25
Yaw: 7.35°/s, Target: 9°/s, Error: 1.65, Steering: 0.25
Yaw: 7.98°/s, Target: 9°/s, Error: 1.02, Steering: 0.25
Yaw: 7.27°/s, Target: 9°/s, Error: 1.73, Steering: 0.25
Yaw: 3.61°/s, Target: 9°/s, Error: 5.39, Steering: 0.25
Yaw: 9.05°/s, Target: 9°/s, Error: -0.05, Steering: 0.25
Yaw: 10.16°/s, Target: 9°/s, Error: -1.16, Steering: 0.25
Yaw: 10.05°/s, Target: 9°/s, Error: -1.05, Steering: 0.24
Yaw: 9.03°/s, Target: 9°/s, Error: -0.03, Steering: 0.24
Yaw: 7.17°/s, Target: 9°/s, Error: 1.83, Steering: 0.25
Yaw: 9.79°/s, Target: 9°/s, Error: -0.79, Steering: 0.25
Yaw: 10.29°/s, Target: 9��/s, Error: -1.29, Steering: 0.24
Yaw: 8.83°/s, Target: 9°/s, Error: 0.17, Steering: 0.24
Yaw: 6.25°/s, Target: 9°/s, Error: 2.75, Steering: 0.25
Yaw: 2.18°/s, Target: 9°/s, Error: 6.82, Steering: 0.25
Yaw: 6.17°/s, Target: 9°/s, Error: 2.83, Steering: 0.25
Yaw: 8.27°/s, Target: 9��/s, Error: 0.73, Steering: 0.25
Yaw: 8.21°/s, Target: 9°/s, Error: 0.79, Steering: 0.25
Yaw: 4.23°/s, Target: 9��/s, Error: 4.77, Steering: 0.25
