>>> spin_at_rate(dps = 9, Kp = 0, Ki = 0.005, Kd = 0, interval = 50)
Starting spin in 5 seconds...
Yaw: 8.27°/s, Target: 9��/s, Error: 0.73, Steering: 0.27
Yaw: 13.96°/s, Target: 9°/s, Error: -4.96, Steering: 0.25
Yaw: 19.75°/s, Target: 9°/s, Error: -10.75, Steering: 0.20
Yaw: 13.72°/s, Target: 9°/s, Error: -4.72, Steering: 0.17
Yaw: 12.03°/s, Target: 9°/s, Error: -3.03, Steering: 0.16
Yaw: 3.53°/s, Target: 9°/s, Error: 5.47, Steering: 0.18
Yaw: 10.62°/s, Target: 9°/s, Error: -1.62, Steering: 0.18
Yaw: 8.37°/s, Target: 9°/s, Error: 0.63, Steering: 0.18
Yaw: 7.09°/s, Target: 9°/s, Error: 1.91, Steering: 0.19
Yaw: 6.22°/s, Target: 9°/s, Error: 2.78, Steering: 0.20
Yaw: 5.58°/s, Target: 9°/s, Error: 3.42, Steering: 0.22
Yaw: 7.47��/s, Target: 9°/s, Error: 1.53, Steering: 0.23
Yaw: 12.04°/s, Target: 9��/s, Error: -3.04, Steering: 0.21
Yaw: 12.04°/s, Target: 9°/s, Error: -3.04, Steering: 0.20
Yaw: 9.39°/s, Target: 9°/s, Error: -0.39, Steering: 0.20
Yaw: 5.69°/s, Target: 9°/s, Error: 3.31, Steering: 0.21
Yaw: 7.90°/s, Target: 9°/s, Error: 1.10, Steering: 0.22
Yaw: 8.90°/s, Target: 9°/s, Error: 0.10, Steering: 0.22
Yaw: 8.68°/s, Target: 9°/s, Error: 0.32, Steering: 0.22
Yaw: 9.21°/s, Target: 9°/s, Error: -0.21, Steering: 0.22
Yaw: 11.38°/s, Target: 9°/s, Error: -2.38, Steering: 0.21
Yaw: 6.80°/s, Target: 9°/s, Error: 2.20, Steering: 0.22
Yaw: 5.38°/s, Target: 9°/s, Error: 3.62, Steering: 0.24
Yaw: 8.59°/s, Target: 9��/s, Error: 0.41, Steering: 0.24
Yaw: 7.04��/s, Target: 9°/s, Error: 1.96, Steering: 0.25
Yaw: 8.83°/s, Target: 9°/s, Error: 0.17, Steering: 0.25
Yaw: 1.05°/s, Target: 9°/s, Error: 7.95, Steering: 0.29
Yaw: 7.25°/s, Target: 9°/s, Error: 1.75, Steering: 0.30
Yaw: 7.05°/s, Target: 9°/s, Error: 1.95, Steering: 0.31
Yaw: 11.53°/s, Target: 9°/s, Error: -2.53, Steering: 0.29
Yaw: 13.14°/s, Target: 9°/s, Error: -4.14, Steering: 0.27
Yaw: 13.36°/s, Target: 9°/s, Error: -4.36, Steering: 0.25
Yaw: 21.54°/s, Target: 9°/s, Error: -12.54, Steering: 0.19
Yaw: 22.67°/s, Target: 9°/s, Error: -13.67, Steering: 0.12
Yaw: 5.33°/s, Target: 9°/s, Error: 3.67, Steering: 0.14
Yaw: 1.13°/s, Target: 9°/s, Error: 7.87, Steering: 0.18
Yaw: 5.08°/s, Target: 9��/s, Error: 3.92, Steering: 0.20
Yaw: 2.35°/s, Target: 9°/s, Error: 6.65, Steering: 0.23
Yaw: 5.29°/s, Target: 9°/s, Error: 3.71, Steering: 0.25
Yaw: 8.74°/s, Target: 9°/s, Error: 0.26, Steering: 0.25
Yaw: 8.98��/s, Target: 9°/s, Error: 0.02, Steering: 0.25
Yaw: 4.18°/s, Target: 9°/s, Error: 4.82, Steering: 0.28
Yaw: 5.76°/s, Target: 9°/s, Error: 3.24, Steering: 0.29
Yaw: 11.29°/s, Target: 9°/s, Error: -2.29, Steering: 0.28
Yaw: 15.09°/s, Target: 9��/s, Error: -6.09, Steering: 0.25
Yaw: 17.51°/s, Target: 9°/s, Error: -8.51, Steering: 0.21
Yaw: 21.67°/s, Target: 9°/s, Error: -12.67, Steering: 0.14
Yaw: 11.06°/s, Target: 9°/s, Error: -2.06, Steering: 0.13
Yaw: 2.20°/s, Target: 9°/s, Error: 6.80, Steering: 0.17
Yaw: 8.08°/s, Target: 9°/s, Error: 0.92, Steering: 0.17
Yaw: 6.04°/s, Target: 9°/s, Error: 2.96, Steering: 0.19
Yaw: 4.59°/s, Target: 9°/s, Error: 4.41, Steering: 0.21
Yaw: 8.83°/s, Target: 9°/s, Error: 0.17, Steering: 0.21
Yaw: 11.09°/s, Target: 9°/s, Error: -2.09, Steering: 0.20
Yaw: 7.10°/s, Target: 9°/s, Error: 1.90, Steering: 0.21
Yaw: 8.36°/s, Target: 9°/s, Error: 0.64, Steering: 0.21
Yaw: 8.09°/s, Target: 9°/s, Error: 0.91, Steering: 0.22
Yaw: 10.56°/s, Target: 9°/s, Error: -1.56, Steering: 0.21
Yaw: 7.80°/s, Target: 9°/s, Error: 1.20, Steering: 0.21
Yaw: 9.43°/s, Target: 9°/s, Error: -0.43, Steering: 0.21
Yaw: 8.64°/s, Target: 9°/s, Error: 0.36, Steering: 0.21
Yaw: 9.87°/s, Target: 9°/s, Error: -0.87, Steering: 0.21
Yaw: 9.29°/s, Target: 9°/s, Error: -0.29, Steering: 0.21
Yaw: 10.46°/s, Target: 9°/s, Error: -1.46, Steering: 0.20
Yaw: 6.79°/s, Target: 9°/s, Error: 2.21, Steering: 0.21
Yaw: 9.01°/s, Target: 9��/s, Error: -0.01, Steering: 0.21
Yaw: 8.73°/s, Target: 9°/s, Error: 0.27, Steering: 0.21
Yaw: 8.69°/s, Target: 9°/s, Error: 0.31, Steering: 0.21
Yaw: 8.57°/s, Target: 9°/s, Error: 0.43, Steering: 0.22
Yaw: 7.72��/s, Target: 9°/s, Error: 1.28, Steering: 0.22
Yaw: 4.21°/s, Target: 9°/s, Error: 4.79, Steering: 0.25
Yaw: 7.15°/s, Target: 9°/s, Error: 1.85, Steering: 0.26
Yaw: 3.44°/s, Target: 9°/s, Error: 5.56, Steering: 0.28
Yaw: 7.58°/s, Target: 9��/s, Error: 1.42, Steering: 0.29
Yaw: 13.60°/s, Target: 9��/s, Error: -4.60, Steering: 0.27
Yaw: 11.65°/s, Target: 9°/s, Error: -2.65, Steering: 0.26
Yaw: 11.69°/s, Target: 9°/s, Error: -2.69, Steering: 0.24
Yaw: 17.68°/s, Target: 9°/s, Error: -8.68, Steering: 0.20
Yaw: 11.48°/s, Target: 9°/s, Error: -2.48, Steering: 0.19
Yaw: 4.98°/s, Target: 9°/s, Error: 4.02, Steering: 0.21
Yaw: 4.58°/s, Target: 9°/s, Error: 4.42, Steering: 0.23
Yaw: 7.34°/s, Target: 9°/s, Error: 1.66, Steering: 0.24
Yaw: 8.64°/s, Target: 9°/s, Error: 0.36, Steering: 0.24
Yaw: 6.65°/s, Target: 9°/s, Error: 2.35, Steering: 0.25
Yaw: 0.80°/s, Target: 9°/s, Error: 8.20, Steering: 0.29
Yaw: 4.38°/s, Target: 9°/s, Error: 4.62, Steering: 0.31
Yaw: 13.90°/s, Target: 9��/s, Error: -4.90, Steering: 0.29
Yaw: 12.68°/s, Target: 9°/s, Error: -3.68, Steering: 0.27
Yaw: 21.34°/s, Target: 9°/s, Error: -12.34, Steering: 0.21
Yaw: 18.35°/s, Target: 9°/s, Error: -9.35, Steering: 0.16
Yaw: 10.60°/s, Target: 9°/s, Error: -1.60, Steering: 0.15
